id,rep_count,visibility_score,hour_of_day,day_of_week,month,left_knee_angle,right_knee_angle,knee_angle_mean,left_hip_angle,right_hip_angle,hip_angle_mean,trunk_inclination,left_right_symmetry,label_encoded,phase_encoded
61,8,0.9835,14,5,5,115.08,136.73,125.9,129.77,151.98,140.88,6.26,21.93,0,0
62,9,0.9884,14,5,5,26.54,21.69,24.11,30.03,30.28,30.15,12.67,2.54,0,0
63,5,0.9821,14,5,5,45.66,39.31,42.49,55.71,54.44,55.08,12.29,3.81,0,0
64,6,0.9166,14,5,5,178.15,172.85,175.5,158.53,155.46,157.0,6.07,4.18,0,1
65,6,0.9894,14,5,5,58.08,48.55,53.31,78.25,73.39,75.82,9.92,7.19,0,0
66,14,0.9704,14,5,5,135.22,59.02,97.12,146.85,68.8,107.83,10.13,77.12,0,0
67,15,0.9354,14,5,5,169.94,169.75,169.84,172.27,175.93,174.1,6.38,1.93,0,1
70,16,0.9729,14,5,5,34.6,35.34,34.97,37.73,40.46,39.09,14.66,1.74,0,0
71,17,0.9731,14,5,5,36.61,30.13,33.37,23.99,30.9,27.45,21.96,6.69,0,0
72,19,0.9374,14,5,5,82.4,48.49,65.45,77.84,40.67,59.25,25.67,35.54,0,0
75,22,0.9206,14,5,5,176.69,177.81,177.25,157.41,159.17,158.29,9.7,1.44,0,1
76,22,0.9627,14,5,5,38.82,35.34,37.08,43.07,39.08,41.07,15.61,3.74,0,0
77,23,0.9326,14,5,5,174.88,173.82,174.35,151.08,161.82,156.45,6.44,5.9,0,1
79,29,0.9641,14,5,5,32.7,32.31,32.5,33.62,38.32,35.97,16.03,2.54,0,0
80,30,0.9912,14,5,5,35.58,32.93,34.25,30.59,39.01,34.8,12.83,5.53,0,0
81,31,0.8849,14,5,5,177.97,174.33,176.15,159.04,158.87,158.95,9.11,1.9,0,1
85,33,0.8524,14,5,5,178.02,177.43,177.72,158.1,159.29,158.7,7.6,0.89,0,1
86,33,0.9718,14,5,5,30.36,28.16,29.26,26.35,31.99,29.17,15.5,3.92,0,0
87,34,0.9225,14,5,5,173.08,179.28,176.18,168.51,163.36,165.94,6.09,5.67,0,1
88,35,0.9523,14,5,5,33.22,27.07,30.15,27.09,32.75,29.92,15.7,5.91,0,0
89,36,0.9556,14,5,5,36.06,30.43,33.25,30.81,34.61,32.71,15.72,4.71,0,0
90,37,0.8508,14,5,5,179.71,178.24,178.97,170.24,169.5,169.87,6.7,1.11,0,1
91,39,0.9632,14,5,5,168.51,170.13,169.32,174.35,167.15,170.75,6.81,4.41,0,1
93,40,0.9553,14,5,5,37.61,35.99,36.8,34.27,39.5,36.88,16.7,3.42,0,0
94,41,0.9394,14,5,5,170.83,178.45,174.64,168.28,175.71,171.99,6.43,7.52,0,1
95,41,0.9378,14,5,5,39.54,35.55,37.55,35.89,38.09,36.99,18.07,3.09,0,0
96,42,0.8638,14,5,5,175.4,176.33,175.86,147.12,150.78,148.95,8.63,2.3,0,1
100,44,0.9569,14,5,5,33.08,26.72,29.9,24.77,30.69,27.73,16.78,6.13,0,0
101,45,0.9019,14,5,5,173.46,173.85,173.65,172.36,173.12,172.74,5.86,0.57,0,1
102,66,0.9633,14,5,5,33.86,33.63,33.75,34.54,40.2,37.37,15.29,2.94,0,0
103,67,0.9519,14,5,5,170.88,176.19,173.53,175.43,170.99,173.21,6.55,4.87,0,1
68,15,0.9704,14,5,5,36.11,36.97,36.54,40.02,41.02,40.52,15.59,0.93,0,0
69,16,0.934,14,5,5,165.36,174.64,170.0,175.08,171.4,173.24,7.06,6.48,0,1
73,20,0.9534,14,5,5,47.2,39.73,43.47,53.77,45.0,49.38,15.87,8.12,0,0
74,21,0.9578,14,5,5,169.39,163.62,166.5,160.74,163.89,162.32,8.62,4.46,0,1
78,25,0.9619,14,5,5,167.93,168.17,168.05,172.28,169.1,170.69,9.05,1.71,0,1
82,31,0.9853,14,5,5,39.21,29.86,34.54,23.54,34.34,28.94,13.44,10.07,0,0
83,32,0.8727,14,5,5,177.4,175.25,176.33,154.26,155.45,154.85,6.9,1.67,0,1
92,39,0.9734,14,5,5,39.51,43.24,41.38,40.04,48.98,44.51,13.6,6.33,0,0
98,43,0.9595,14,5,5,36.11,35.73,35.92,38.08,39.17,38.63,16.55,0.73,0,0
99,44,0.8748,14,5,5,178.76,179.63,179.19,166.1,167.67,166.89,6.16,1.22,0,1
104,67,0.9548,14,5,5,37.97,36.17,37.07,37.08,37.8,37.44,17.0,1.26,0,0
105,68,0.9022,14,5,5,174.42,174.44,174.43,163.27,164.31,163.79,8.44,0.53,0,1
106,68,0.9712,14,5,5,32.21,28.76,30.48,31.65,34.09,32.87,14.7,2.94,0,0
107,69,0.9171,14,5,5,169.44,175.4,172.42,172.59,172.03,172.31,7.4,3.26,0,1
84,32,0.9777,14,5,5,30.32,29.7,30.01,20.89,26.02,23.45,18.48,2.88,0,0
110,70,0.9711,14,5,5,33.65,29.42,31.53,31.67,35.9,33.78,14.72,4.23,0,0
111,71,0.8816,14,5,5,176.3,174.54,175.42,165.04,163.3,164.17,7.62,1.75,0,1
112,17,0.8613,23,5,5,136.82,132.36,126.24,164.48,164.28,164.38,8.63,4.79,1,1
113,17,0.8613,23,5,5,136.82,132.36,126.24,164.48,164.28,164.38,8.63,4.79,1,1
114,17,0.8613,23,5,5,136.82,132.36,126.24,164.48,164.28,164.38,8.63,4.79,1,1
115,17,0.8613,23,5,5,136.82,132.36,126.24,164.48,164.28,164.38,8.63,4.79,1,1
116,17,0.8613,23,5,5,136.82,132.36,126.24,164.48,164.28,164.38,8.63,4.79,1,1
117,17,0.8613,23,5,5,136.82,132.36,126.24,164.48,164.28,164.38,8.63,4.79,1,1
118,17,0.8613,23,5,5,136.82,132.36,126.24,164.48,164.28,164.38,8.63,4.79,1,1
119,17,0.8613,23,5,5,136.82,132.36,126.24,164.48,164.28,164.38,8.63,4.79,1,1
97,42,0.9497,14,5,5,36.42,30.75,33.59,26.52,29.87,28.2,19.69,4.52,0,0
108,69,0.9589,14,5,5,36.01,35.45,35.73,28.47,39.37,33.92,15.89,5.73,0,0
109,70,0.9094,14,5,5,173.58,171.06,172.32,151.26,154.28,152.77,8.77,2.77,0,1
120,17,0.8613,23,5,5,136.82,132.36,126.24,164.48,164.28,164.38,8.63,4.79,1,1
